movie_name,year,link,imdb_id,imdb_name,imdb_year
Portrait of a Lady on Fire,2019,blu-ray/Portrait-of-a-Lady-on-Fire/,tt8613070,Portrait de la jeune fille en feu (2019),2019
Prometheus,2012,blu-ray/Prometheus/,tt1446714,Prometheus (I) (2012),2012
Promising Young Woman,2020,blu-ray/Promising-Young-Woman/,tt9620292,Promising Young Woman (2020),2020
Pulp Fiction,1994,blu-ray/Pulp-Fiction/,tt0110912,Pulp Fiction (1994),1994
Quantum of Solace,2008,blu-ray/Quantum-of-Solace/,tt0830515,Quantum of Solace (2008),2008
Rain Man,1988,dvd/Rain-Man/,tt0095953,Rain Man (1988),1988
Raise the Red Lantern,1991,blu-ray/Raise-the-Red-Lantern/,tt0101640,Épouses et concubines (1991),1991
Rashomon,1950,blu-ray/Rashomon/,tt0042876,Rashomon (1950),1950
Renoir,2012,blu-ray/Renoir/,tt2150332,Renoir (2012),2012
The Revenant,2015,blu-ray/The-Revenant/,tt1663202,The Revenant (2015),2015
Revenge,2017,blu-ray/Revenge/,tt9539758,The Revenge 2 (2017),2017
Rocketman,2019,blu-ray/Rocketman/,tt2066051,Rocketman (I) (2019),2019
Roma,2018,blu-ray/Roma/,tt6155172,Roma (2018),2018
Romeo + Juliet,1996,dvd/Romeo-and-Juliet/,tt0117509,Roméo + Juliette (1996),1996
The Rose,1979,dvd/The-Rose/,tt0079826,The Rose (1979),1979
The Royal Tenenbaums,2001,blu-ray/The-Royal-Tenenbaums/,tt0265666,La famille Tenenbaum (2001),2001
Ruined Heart,2014,blu-ray/Ruined-Heart/,tt2668150,Ruined Heart: Another Lovestory Between a Criminal & a Whore (2014),2014
The Sacrifice,1986,blu-ray/The-Sacrifice/,tt0091670,Le sacrifice (1986),1986
Sakuran,2006,blu-ray/Sakuran/,tt0794338,Sakuran (2006),2006
Samsara,2011,blu-ray/Samsara/,tt0770802,Samsara (I) (2011),2011
Saturday Night Fever,1977,blu-ray/Saturday-Night-Fever/,tt0076666,La Fièvre du samedi soir (1977),1977
Sex and Lucia,2001,blu-ray/Sex-and-Lucia/,tt0254455,Sex and Lucia (2001),2001
Sex and the City,2008,dvd/Sex-and-the-City/,tt1000774,Sex and the City (2008),2008
The Shape of Water,2017,blu-ray/The-Shape-of-Water/,tt5580390,La Forme de l'eau (2017),2017
The Silence of the Lambs,1991,dvd/The-Silence-of-the-Lambs/,tt0102926,Le Silence des agneaux (1991),1991
Sin City: A Dame to Kill For,2014,blu-ray/Sin-City-A-Dame-to-Kill-For/,tt0458481,Sin City: j'ai tué pour elle (2014),2014
A Single Man,2009,blu-ray/A-Single-Man/,tt1315981,A Single Man (2009),2009
Sirens,1993,dvd/Sirens/,tt0111201,Sirens (1993),1993
Skyfall,2012,blu-ray/Skyfall/,tt1074638,Skyfall (2012),2012
Slumdog Millionaire,2008,blu-ray/Slumdog-Millionaire/,tt1010048,Slumdog Millionaire (2008),2008
The Snowman,2017,hd/The-Snowman/,tt1758810,Le bonhomme de neige (2017),2017
Solaris,1972,blu-ray/Solaris-1972/,tt0069293,Solaris (1972),1972
Spartacus,1960,dvd/Spartacus/,tt0054331,Spartacus (1960),1960
Spectre,2015,blu-ray/Spectre/,tt2379713,007 Spectre (I) (2015),2015
Spellbound,1945,blu-ray/Spellbound/,tt0038109,La Maison du docteur Edwardes (1945),1945
Spider-Man: Into the Spider-Verse,2018,blu-ray/Spider-Man-Into-the-Spider-Verse/,tt4633694,Spider-Man: New Generation (2018),2018
Spring Breakers,2012,blu-ray/Spring-Breakers/,tt2101441,Spring Breakers (2012),2012
"Spring, Summer, Fall, Winter... and Spring",2003,blu-ray/Spring-Summer-Fall-Winter-and-Spring/,tt0374546,"Printemps, été, automne, hiver... et printemps (2003)",2003
The Spy Who Loved Me,1977,dvd/The-Spy-Who-Loved-Me/,tt0076752,L'espion qui m'aimait (1977),1977
Stalker,1979,blu-ray/Stalker/,tt0079944,Stalker (1979),1979
A Star Is Born,2018,blu-ray/A-Star-Is-Born/,tt1517451,A Star is Born (2018),2018
Star Trek,2009,blu-ray/Star-Trek/,tt0796366,Star Trek (2009),2009
Star Trek Into Darkness,2013,blu-ray/Star-Trek-Into-Darkness/,tt1408101,Star Trek Into Darkness (2013),2013
Street of Shame,1956,blu-ray/Street-of-Shame/,tt0048933,La rue de la honte (1956),1956
Sunday Bloody Sunday,1971,dvd/Sunday-Bloody-Sunday/,tt0067805,Un dimanche comme les autres (1971),1971
Sunshine,2007,blu-ray/Sunshine/,tt0448134,Sunshine (2007),2007
Suspiria,1977,blu-ray/Suspiria/,tt0076786,Suspiria (1977),1977
Sweeney Todd: The Demon Barber of Fleet Street,2007,dvd/Sweeney-Todd-The-Demon-Barber-of-Fleet-Street/,tt0408236,"Sweeney Todd, le diabolique barbier de Fleet Street (2007)",2007
T2 Trainspotting,2017,blu-ray/T2-Trainspotting/,tt2763304,T2 Trainspotting (2017),2017
Taking Woodstock,2009,blu-ray/Taking-Woodstock/,tt1127896,Hôtel Woodstock (2009),2009
Taxi Driver,1976,dvd/Taxi-Driver/,tt0075314,Taxi Driver (1976),1976
Tenet,2020,blu-ray/Tenet/,tt6723592,Tenet (2020),2020
The Thin Red Line,1998,blu-ray/The-Thin-Red-Line/,tt0120863,La ligne rouge (1998),1998
Thor,2011,blu-ray/Thor/,tt0800369,Thor (2011),2011
"Three Billboards Outside Ebbing, Missouri",2017,blu-ray/Three-Billboards-Outside-Ebbing-Missouri/,tt5027774,3 Billboards: Les panneaux de la vengeance (2017),2017
"Throw Away Your Books, Rally in the Streets",1971,blu-ray/Throw-Away-Your-Books-Rally-in-the-Streets/,tt0228853,Jetons les livres et sortons dans les rues (1971),1971
Thunderball,1965,blu-ray/Thunderball/,tt0059800,Opération Tonnerre (1965),1965
Titanic,1997,blu-ray/Titanic/,tt0120338,Titanic (1997),1997
"To Sir, with Love",1967,dvd/To-Sir-With-Love/,tt0062376,Les anges aux poings serrés (1967),1967
Tokyo Drifter,1966,blu-ray/Tokyo-Drifter/,tt0061101,Le vagabond de Tokyo (1966),1966
Tommy,1975,blu-ray/Tommy/,tt0073812,Tommy (1975),1975
Tomorrow Never Dies,1997,blu-ray/Tomorrow-Never-Dies/,tt0120347,Demain ne meurt jamais (1997),1997
Trance,2013,blu-ray/Trance/,tt1924429,Trance (I) (2013),2013
The Tree of Life,2011,blu-ray/The-Tree-of-Life/,tt0478304,The Tree of Life (2011),2011
The Trip,1967,blu-ray/The-Trip/,tt0062395,The Trip (II) (1967),1967
Ugetsu,1953,blu-ray/Ugetsu/,tt0046478,Les contes de la lune vague après la pluie (1953),1953
The Umbrellas of Cherbourg,1964,blu-ray/The-Umbrellas-of-Cherbourg/,tt0058450,Les parapluies de Cherbourg (1964),1964
The Untouchables,1987,dvd/The-Untouchables/,tt0094226,Les incorruptibles (1987),1987
Up,2009,blu-ray/Up/,tt1193138,In the Air (I) (2009),2009
Valley of the Dolls,1967,dvd/Valley-of-the-Dolls/,tt0062430,La vallée des poupées (1967),1967
Velvet Goldmine,1998,dvd/Velvet-Goldmine/,tt0120879,Velvet Goldmine (1998),1998
