track_id;artists;name;popularity;release_date;release_date_precision;speechiness;instrumentalness
2FIpOpyU48V6vob7RO8kQU;1PLIKÉ140;BELEK;59;2021-04-01;day;0.185;0.0
205HNJ73cgpC0LAOnuQiWT;Kofs, Soso Maness, Elams, Jul, SCH, Naps, Solda, Houari, 13 Organisé;Bande organisée;73;2020-08-15;day;0.2739999999999999;0.0
73RQVlMExXaeOi6mnlz3Bb;SDM;Rihanna;60;2021-04-08;day;0.3229999999999999;0.0
66tNDqYNR2S6Svwgm3BMi9;OBOY;Cabeza;72;2020-07-03;day;0.046;3.25e-06
7n2IirOomwTTGdGZVZ3vCD;SCH;Grand bain;70;2021-03-19;day;0.27;0.0226
0jhM7SIDRnIudInM73qyD0;Soso Maness;Zumba Cafew;60;2021-03-31;day;0.263;0.0
0lnA9sMTbLqSPk0ItE0b8u;Sasso;Napoli;62;2021-03-31;day;0.196;0.0
7HxHvLxK39ggNw8849hYWe;Alonzo, ZKR;280;56;2021-03-25;day;0.2689999999999999;0.0
2pj0SNwkwxVWeFrAYtUAhB;SCH;Parano;70;2021-03-19;day;0.434;0.0
2chIkORxBLpPVgruGiMY8k;Damso;911;70;2020-09-17;day;0.0545;0.0287
6PqRRt5BCxO6tay5Nry0dj;Jul, SCH;Mother Fuck;66;2020-12-11;day;0.0812;0.000278
7rjb8ymTxQJjAZHDny04Bn;Koba LaD, Maes, Zed;Coffre plein;60;2020-10-22;day;0.0634;0.0
7toL2moA2sVueHJKDhVD0n;Leto, Ninho;Vie de star (feat. Ninho);64;2021-01-01;day;0.074;0.0
0qARyMVNjA6q1uxxO3nofB;UZI;À la fête;67;2020-06-25;day;0.165;0.0
2nSHzaUCVw94Uxy2yhV5mE;Naps, Jul;Mek du binks;59;2021-04-02;day;0.0857;1.91e-06
2o0hVSbnkdvDDKKVNaUxnB;Charles Aznavour;La bohème;64;1966;year;0.0341;0.0
1MOSRjdAbUhvLNnHCdUEL5;Renaud;Mistral gagnant;60;1985-11-30;day;0.042;4.99e-06
3dkIE8P7hvl3tHl9KSb6dA;Édith Piaf;Non, je ne regrette rien;65;1987-10-31;day;0.0289;3.11e-06
2W4ZxAHZAXOf6r65pCskGR;Alain Souchon;Foule sentimentale;57;1993-10-05;day;0.0258;0.00169
2tsW3Lr6LatRZz7Bbe3CBK;Georges Brassens;Les copains d'abord;55;1964;year;0.232;5.29e-06
7zjkSx1EUums3s1Yg2jPJD;Nino Ferrer;Le sud;60;2004-01-01;day;0.0236;9.63e-05
2CLeotsLhEUu0qkj56vbUj;Jacques Dutronc;Il est cinq heures, Paris s'éveille;53;1968-11-14;day;0.0325;0.0
3GfUHAoOSGy3hhEaTU34WV;France Gall;Il jouait du piano debout - Remasterisé en 2004;57;1980;year;0.0506;2.64e-05
5TWou9aiZuH1nETXYbf8eO;Daniel Balavoine;Mon fils ma bataille;11;1980;year;0.0268;6.94e-06
