artist_id;name;popularity;genres
0oeiA5U9u1U45Gos5cywUU;Soso Maness;67;['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']
2IoSLl3tqYMq9DzR0d6NJN;Elams;65;['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']
7FXX45sHqoQoCwqtG0ZV8H;Solda;63;[]
6zrOXBaNn0DqJeXxgC2eyH;Houari;64;['pop urbaine']
19u3RGWKsjmbg9eI6zAiNp;13 Organisé;65;['french hip hop', 'pop urbaine', 'rap francais']
66Ok6bgC570sHkw08N20pZ;OBOY;69;['french hip hop', 'pop urbaine', 'rap francais']
35B6bq5keTR1PYEahq1TAF;Sasso;60;['french hip hop', 'pop urbaine', 'rap francais', 'rap lyonnais']
0ahfpnYB6TIb9k2nhkJMLe;ZKR;43;[]
1q7T9rFQ2a2ukA1PU51fo3;Koba LaD;72;['french hip hop', 'pop urbaine', 'rap francais']
0mmk05vTtGGG2jYwLxRHwy;Zed;62;[]
6HCBnyTBSLdb3TFn2ayulY;Leto;71;['francoton', 'french hip hop', 'pop urbaine', 'rap francais']
5U05AU34EcZ8pfohg2dicI;UZI;66;['french hip hop', 'pop urbaine', 'rap francais']
2hgP9Ap2tc10R5jrQaEpMT;Charles Aznavour;66;['chanson']
15uNxh8omvRvH71kcdIe2r;Renaud;61;['chanson', 'french pop', 'french reggae', 'french rock']
1WPcVNert9hn7mHsPKDn7j;Édith Piaf;65;['chanson', 'torch song', 'vintage schlager']
5LVp2pGNzmOQqXzziBBR5x;Alain Souchon;58;['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']
5UWyW1PcEM8coxeqg3RIHr;Georges Brassens;58;['chanson', 'french pop', 'french rock']
3THqHCN7gq2Z9hLleof9uv;Nino Ferrer;55;['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise', 'ye ye']
3ayds6VIVBx3CU5NSNCDbq;Jacques Dutronc;55;['chanson', 'french pop', 'french rock', 'ye ye']
22HVxZPA6UhBp8wahxDA6I;France Gall;61;['chanson', 'french pop', 'ye ye']
28IqYhzq3UU46bbY0mRgn7;Daniel Balavoine;58;['chanson', 'francoton', 'french pop']
3K8EYZ4Ltg6ythgGZzrFXf;Marc Lavoine;57;['chanson', 'french pop', 'nouvelle chanson francaise']
4RN2vlFWepLa46qQIU2PHs;Jacques Brel;60;['belgian singer-songwriter', 'chanson', 'french pop']
04aQfpx1U1WQEJkrvGs4ig;Dalida;60;['chanson', 'french pop']
2e1aRMKieswINolf49MzQ8;Alain Delon;48;[]
5skauLarl8sqqUFypECtP4;Michel Berger;55;['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']
6MmRTVIPIe35OsFqWgRKQJ;Christophe;56;['chanson', 'french pop', 'french rock', 'vintage french electronic']
4KBk9hwqFYtGS3DlZJiCsQ;Eddy Mitchell;55;['chanson', 'french pop']
1QQlg9J5PEMv9cpOOJPUvR;Il Etait Une Fois;44;['chanson']
2HALYSe657tNJ1iKVXP2xA;Johnny Hallyday;64;['chanson', 'francoton', 'french pop', 'ye ye']
3fR5PRhFohNbxEXDE69pUz;Serge Lama;47;['chanson', 'french pop']
0g7hZVprd3orBpMrSLWeJ9;Florent Pagny;59;['chanson', 'francoton', 'french pop']
5uo5NwSONVNfvSHHMQrHAv;Francis Cabrel;64;['chanson', 'french pop', 'french rock']
7aKldvGENbL4bj8TCWHuhT;Michel Polnareff;53;['chanson', 'french pop', 'ye ye']
0vmrFTWCwK3gFGDzeUzeMg;Patrick Bruel;58;['chanson', 'francoton', 'french pop', 'variete francaise']
4GAdDePOvBsOl3n3nVHWpt;Jean Ferrat;53;['chanson', 'french pop']
29My6ypNwcVp0mjpy3sX2E;Stephan Eicher;50;['chanson', 'french pop', 'french rock', 'swiss rock']
18PkzXDURSTyGZTg9w66qq;Patrick Fiori;59;['chanson', 'francoton', 'french pop']
2Cx19OTMqa6gpz2l60cGG2;Jean-Jacques Goldman;64;['chanson', 'francoton', 'french pop', 'french rock']
6HemVd833KVc72W7Un9IWD;Christine Ricol;43;[]
6S4WAihWktrOYeJdslsjcM;Daniel Lavoie;50;['auteur-compositeur-interprete quebecois', 'french pop']
1oXtLNYfNMQLxWsatCTCCn;Garou;56;['chanson', 'french pop']
1u9tovPnCMYuZiV3EMZqDV;Mike Brant;48;['chanson', 'french pop']
4Uk5eLOfWucThb2X4QLcX1;Elsa;41;['chanson', 'classic french pop', 'french pop']
5Nq9MbzweBc5oL4WzsECx4;Calogero;62;['chanson', 'francoton', 'french pop', 'french rock']
6ogXCiVOaz2afPmMNHph7Z;Laurent Voulzy;55;['chanson', 'french pop']
7knmbOGe07k85GmK50vACB;Indochine;65;['chanson', 'francoton', 'french pop', 'french rock', 'french synthpop']
4CAsSAU842glNKJX71ndA9;Louise Attaque;58;['chanson', 'french pop', 'french reggae', 'french rock']
28ztjHIXceRRntmTUfnmUX;Khaled;63;['classic arab pop', 'rai']
2Asr5Otk5aKK272pK4ocG2;Jeanette;62;['latin pop']
4T795JhhCZMWM01DLcX98p;Michel Delpech;53;['chanson', 'french pop']
1FmxE030Xe2H8Bn9bdv6Pd;Vanessa Paradis;62;['chanson', 'french indie pop', 'french pop', 'french rock', 'nouvelle chanson francaise']
4siBlVknVhh8jtVy9jHsDG;Julie Pietri;39;['classic french pop']
7CdlYgtOoxBtNjuDeIxSPM;Les Rita Mitsouko;53;['chanson', 'french pop', 'french rock']
4oJ3WVkGXRBtRC0YaqMKxU;Niagara;50;['chanson', 'french pop', 'french rock', 'rennes indie']
7gVzeNvBbUpj6PXX5ekCMs;Julien Clerc;58;['chanson', 'french pop', 'nouvelle chanson francaise']
4zxH2Yu5AvPNRdEDBz120D;Véronique Sanson;57;['chanson', 'french pop', 'nouvelle chanson francaise']
01C9OoXDvCKkGcf735Tcfo;Serge Gainsbourg;63;['chanson', 'french pop', 'french rock']
21h26EWdy9snENqbeAZorA;Thierry Hazard;41;['classic french pop']
4KM2fWVoNDDdgrKmk41Ygy;Nanette Workman;42;['auteur-compositeur-interprete quebecois']
0P2p1bqVyP2EgqubwjTBUJ;Claude François;56;['chanson', 'francoton', 'french pop', 'ye ye']
38dqh4zX6r6OBMW0cjtjSI;Frédérique;36;[]
4rGzQTq5qCKLme91gDHBeh;Claude Dubois;41;['auteur-compositeur-interprete quebecois', 'chanson quebecois']
4TzUcfMmDAPfGU8rRM5QqS;Fabienne Thibeault;38;['auteur-compositeur-interprete quebecois', 'chanson', 'french pop']
0zOmGsEji4FL8WHNhCSuGW;Eric Estève;22;[]
3gX7V7VCwOBz90t62hQHMw;Axelle Red;56;['belgian indie', 'belgian pop', 'chanson', 'french pop']
3fQq9bb2ZKNv24V1A4vwBK;Téléphone;56;['french rock']
0krCd0zVANPv9ryri4T0TO;Michel Sardou;60;['chanson', 'francoton', 'french pop']
473XDcWSxnSaxptauf6fg4;Pierre Bachelet;52;['chanson', 'french pop', 'vintage french electronic']
4S9EykWXhStSc15wEx8QFK;Céline Dion;78;['canadian pop', 'dance pop']
4emUqFLk5iZsqEqawwEfRJ;Patrick Coutin;36;[]
4ebH7YddhqlxMCE6bfNSGi;Tubes français 80;17;[]
2fJzcOo1URtFQr5rkF5kC8;William Sheller;49;['chanson', 'french pop', 'french rock']
3marwXSwSzZctZtvg35LOe;François Feldman;43;['chanson', 'classic french pop', 'french pop']
31GFatrHl2ijnS4ZAWA9s0;Gilbert Bécaud;53;['chanson']
1q24xIsAD7JZuVkTLR9TJy;Brigitte Bardot;55;['chanson', 'ye ye']
3Zi9cVUyWeAFjxEHn3bCqZ;Sylvie Vartan;44;['chanson', 'ye ye']
6TOGbRYHQizlf3adIyugol;Hugues Aufray;48;['chanson', 'french pop']
4TNiKyCX2oCvdo1sTgHcRw;Barbara;54;['chanson', 'french pop']
4JQHNk6teUNYxC27Bg0UPI;Patricia Kaas;50;['chanson', 'french pop']
4a16JEaHldo5vZuRojtGTZ;Charles Trenet;53;['chanson']
7x3f7c0fBanNlQwpx1255g;Françoise Hardy;62;['chanson', 'ye ye']
7c5wlQVkajxJG0X13D0Fpc;Patrick Juvet;44;['chanson', 'classic french pop', 'vintage french electronic']
63daU3zd0ubMpG5sgOorgC;Maxime Le Forestier;51;['chanson', 'french pop', 'french rock', 'nouvelle chanson francaise']
0rvjqX7ttXeg3mTy8Xscbt;Journey;77;['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']
0ECwFtbIWEVNwjlrfc6xoL;Eagles;80;['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']
568ZhdwyaiCyOGJRtNYhWf;Deep Purple;72;['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock']
36QJpDe2go2KgaRleHCDTp;Led Zeppelin;82;['album rock', 'classic rock', 'hard rock', 'rock']
5NGO30tJxFlKixkPSgXcFE;The Police;79;['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']
51Blml2LZPmy7TTiAg47vQ;U2;82;['irish rock', 'permanent wave', 'rock']
711MCceyCBcFnzjGY4Q7Un;AC/DC;86;['australian rock', 'hard rock', 'rock']
07XSN3sPlIlB2L2XNcTwJw;KISS;76;['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']
7b85ve82Sh36a3UAx74wut;Twisted Sister;67;['album rock', 'glam metal', 'hard rock', 'metal', 'rock']
3UbyYnvNIT5DFXU4WgiGpP;Whitesnake;70;['album rock', 'british blues', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']
7HL4id2U7FSDJtfKQHMgQx;Cinderella;61;['album rock', 'glam metal', 'hard rock', 'metal', 'rock']
0WwSkZ7LtFUFjGjMZBMt6T;Dire Straits;79;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']
1dfeR4HaWDbWqFHLkxsg1d;Queen;90;['classic rock', 'glam rock', 'rock']
7Ey4PD4MYsKc5I2dolUwbH;Aerosmith;80;['album rock', 'classic rock', 'hard rock', 'rock']
2cnMpRsOVqtPMfq7YiFE6K;Van Halen;77;['album rock', 'classic rock', 'hard rock', 'metal', 'rock']
2AM4ilv6UzW0uMRuqKtDgN;ZZ Top;73;['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'rock']
4MVyzYMgTwdP7Z49wAZHx0;Lynyrd Skynyrd;76;['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']
3qm84nBOXUEQ2vnTfUTTFC;Guns N' Roses;83;['glam metal', 'hard rock', 'rock']
0cc6vw3VN8YlIcvr1v7tBL;Mötley Crüe;75;['glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']
4opTS86dN9uO313J9CE8xg;Skid Row;66;['album rock', 'glam metal', 'hard rock', 'metal', 'rock']
1fBCIkoPOPCDLUxGuWNvyo;Poison;68;['album rock', 'glam metal', 'hard rock', 'rock']
1dLWg6m8RRhizsdqJbhyj3;Quiet Riot;64;['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']
5OfhOoKunSnuubxxRML8J3;Mr. Big;65;['album rock', 'glam metal', 'hard rock', 'rock']
